Base Form, Derived Words
administration, administration
administrative, administrative
anthropologist, anthropologist
anthropology, anthropology
arch(a)eologist, arch(a)eologist
arch(a)eological, arch(a)eological
accelerate, accelerate
accelecation, accelecation
aftermath, aftermath
abide, abide
aside, aside
analysi, analysis
analysis, analysis
analyst, analyst
approximately, approximately
agriculture, agriculture
agricultural, agricultural
attentive , attentive 
adventurism, adventurism
adventurous , adventurous 
adventurou, adventurous
adventurous, adventurous
arrange, arrange
accountable, accountable
absently, absently
agreement, agreement
authority, authority
authorization, authorization
authoritative, authoritative
assure, assure
ablity , ablity 
achievement, achievement
accomplishment, accomplishment
acces, access
access, access
accessible, accessible
allocation, allocation
attachment, attachment
academically, academically
auctioneer, auctioneer
acreage, acreage
analogou, analogous
analogous, analogous
attractiveness, attractiveness
attractivenes, attractiveness
accumulation, accumulation
acclimation, acclimation
assessment, assessment
assuage, assuage
abundance, abundance
assume, assume
assumption, assumption
attendance, attendance
assist, assist
assistance, assistance
assistant, assistant
awaken, awaken
absorption, absorption
astronomer, astronomer
astronomy, astronomy
astronomical, astronomical
atmosphere, atmosphere
antipoverty, antipoverty
adoption, adoption
ambiguity, ambiguity
afloat, afloat
addiction, addiction
automatically, automatically
alarmist, alarmist
autobiography, autobiography
architectural , architectural 
accustom, accustom, accustomed
accustomed, accustomed
annoy, annoying, annoyed
annoyed, annoyed
annoying, annoying
authenticate, authenticate
astonish, astonishing, astonish
astonishing, astonishing
accidentally, accidentally
advertiser , advertiser 
advertising , advertising 
advertisement, advertisement
baseline, baseline
bar, bar
belief  , belief  
by-product, by-product
backdrop, backdrop
backfire, backfire
biotech , biotech 
billboard, billboard
broadband, broadband
biomas, biomass
biomass, biomass
bureaucratic, bureaucratic
behavio(u)ral, behavio(u)ral
biotic, biotic
biographical, biographical
bankruptcy, bankruptcy
coworkur, coworkur
cultivate, cultivate
civil, civil
civilisation/-zation, civilisation/-zation
civilised/-ized, civilised/-ized
civilised/-iz, civilised/-ized
civility, civility
chancellor, chancellor
coherent, coherent
creativity, creativity
coverage, coverage
concerned, concerned
concern, concerned
caregiver, caregiver
chronicle, chronicle
chronic, chronic
considerably, considerably
concentration, concentration
crucial , crucial 
controversy , controversy 
controversial, controversial
commonness, commonness
commonnes, commonness
communal, communal
conclusive, conclusive
Correlation, Correlation
characterise/-ize, characterise/-ize
contribution, contribution
council, council
critic, critic
critical, critical
critically, critically
criticise/-ize, criticise/-ize
convey, convey
converge, converge
Convention, Convention
conventional, conventional
conventionally, conventionally
	casino, 	casino
consciousness, consciousness
consciousnes, consciousness
conceptual, conceptual
centerpiece, centerpiece
connection/-xion, connection/-xion
competitor, competitor
consistently, consistently
compulsive, compulsive
confused, confused
confus, confusing, confused
confusing, confusing
chaotic, chaotic
convinced, convinced
convinc, convinced
Catholicism, Catholicism
container, container
capitalism, capitalism
capitalize, capitalize
counteract, counteract
cashless, cashless
cashles, cashless
cooperation, cooperation
cooperative, cooperative
collaboration, collaboration
commissioner, commissioner
compensation, compensation
compliance, compliance
compliant, compliant
coax , coax 
contradictory, contradictory
customer, customer
coincidence, coincidence
coincident, coincident
distinctive, distinctive
distinctivenes, distinctiveness
distinctiveness, distinctiveness
dynamics, dynamics
dynamic, dynamics
decisivenes, decisiveness
decisiveness, decisiveness
defensel-ce, defensel-ce
defendant, defendant
depat, depat
democratise/-ize, democratise/-ize
devalue, devalue
devaluation, devaluation
downturn, downturn
distraction, distraction
deal, dealing
dealing, dealing
discourse, discourse
domestic, domestic
developing, developing
develop, developing
developmental, developmental
deforestation, deforestation
distrust , distrust 
disappearance, disappearance
disabiliy, disabiliy
disrespect, disrespect
disadvantage, disadvantage
domain, domain
destroy, destroy
diffusionism, diffusionism
discrimination, discrimination
direcly , direcly 
depressed, depressed
depress, depressed
depression, depression
demotivate, demotivate
dominant, dominant
disappointing, disappointing
disappoint, disappointing
disappointment, disappointment
disproportionately, disproportionately
divret, divret
disintegration, disintegration
durable, durable
deliberation, deliberation
drastically, drastically
dramatic, dramatic
dishono(u)r, dishono(u)r
degradation, degradation
disgrace, disgrace
disgust, disgusting
disgusting, disgusting
distress, distressed
distressed, distressed
disruption, disruption
econymist, econymist
economy , economy 
economically, economically
endles, endless
endless, endless
effectivenes, effectiveness
effectiveness, effectiveness
exclusively, exclusively
emphasise/-ize  , emphasise/-ize  
enhancement, enhancement
environmentally, environmentally
ecosystem, ecosystem
extinction, extinction
encode, encode
emotionally, emotionally
entrust, entrust
extraordinary, extraordinary
extraordinarily, extraordinarily
extravagant, extravagant
expert, expert
ethics, ethics
ethic, ethics
establish, establish
establishment, establishment
existential , existential 
expressive, expressive
extensively, extensively
expand, expand
expansion, expansion
enslavement, enslavement
evaluation, evaluation
expect, expect
expectation, expectation
electoral , electoral 
epochal , epochal 
electricity, electricity
electrify, electrify
entirely, entirely
extremely, extremely
exchequer, exchequer
entertaining, entertaining
entertain, entertaining
exhausted, exhausted
exhaust, exhausted
exhaustion, exhaustion
elegance, elegance
exaggeration, exaggeration
enrol(l)ment, enrol(l)ment
excessive, excessive
fallout , fallout 
faithfulness , faithfulness 
favo(u)r  , favo(u)r  
favo(u)rably, favo(u)rably
favo(u)ritism, favo(u)ritism
factual, factual
formally, formally
foreshadow, foreshadow
famed, famed
fam, famed
fluctuant, fluctuant
fluctuation, fluctuation
forgiveness, forgiveness
forgivenes, forgiveness
fortunately, fortunately
feasibility , feasibility 
frustrat, frustrated
frustrated, frustrated
frustration , frustration 
governance, governance
gavemor, gavemor
globalise/-ize, globalise/-ize
globalization, globalization
graduation, graduation
gradually, gradually
groundbreak, groundbreaking
groundbreaking, groundbreaking
genetic, genetic, genetics
genetics, genetics
generational, generational
historian, historian
historic, historic
historically , historically 
hack, hack
harmonization, harmonization
havoc, havoc
hostilty, hostilty
high-profile, high-profile
hono(u)rably, hono(u)rably
 intend,  intend
Investigate, Investigate
	interview , 	interview 
impact, impact
impossible, impossible
industrialist, industrialist
improvement, improvement
