Base Form, Derived Words
academic, academic
academy, academy
accelerate, accelerate
accept, accept
acceptance access, acceptance access
acceptance acces, acceptance access
accessor, accessor
abolish, abolish
absence, absence
absent, absent
abroad, abroad
absolute, absolute
 absorb,  absorb
abstract, abstract
abandon, abandon
abide, abide
ability, ability
able, able
abnormal, abnormal
☆ addict, ☆ addict
add, add
addition, addition
additional, additional
addres, address
address, address
adequate, adequate
adjust, adjust
administration, administration
admire, admire
admission, admission
admit, admit
adapt, adapt
adopt, adopt
adult, adult
accumulate, accumulate
accuracy, accuracy
accurate, accurate
accuse, accuse
achieve, achieve
acknowledge, acknowledge
acclaim, acclaim
accommodate, accommodate
accommodation(s), accommodation(s)
accompany, accompany
accomplish, accomplish
account, account
accountant, accountant
★ aggravate, ★ aggravate
aggregate, aggregate
aggressive, aggressive
agitate, agitate
agreeable, agreeable
aid, aid
 aim,  aim
alarm, alarm
alien, alien
alienate, alienate
allocate, allocate
allow, allow
alter, alter
alternate, alternate
alternative, alternative
★ advance, ★ advance
advanc, advanced
advanced, advanced
advantage, advantage
advice, advice
advise, advise
advisable, advisable
advocate, advocate
(a)esthetic, (a)esthetic
affair, affair
affect, affect
affection, affection
affiliate, affiliate
affirm, affirm
afford, afford
acquire, acquire
acquisition, acquisition
act, act
action, action
activate, activate
active, active
activity, activity
actual, actual
acute, acute
 architect,  architect
architecture, architecture
archive, archive
area, area
arena, arena
argue, argue
argument, argument
arise, arise
arouse, arouse
array, array
apparent, apparent
appeal, appeal
appear, appear
appearance, appearance
application, application
 appliance ,  appliance 
 applicable,  applicable
	appoint, 	appoint
appointment, appointment
appreciate, appreciate
 apply,  apply
★ amateur, ★ amateur
amaze, amaze
ambiguou, ambiguous
ambiguous, ambiguous
ambition, ambition
ambitiou, ambitious
ambitious, ambitious
★ anguish, ★ anguish
annoy, annoy
annual, annual
anchor, anchor
 anonymou,  anonymous
 anonymous,  anonymous
answer, answer
anticipate, anticipate
anxiety, anxiety
anxiou, anxious
anxious, anxious
apart, apart
assassinate, assassinate
assault, assault
assemble, assemble
assembly, assembly
assert, assert
associate, associate
association, association
amend, amend
among(st), among(st)
amount, amount
ample, ample
amuse, amuse
approach, approach
appropriate, appropriate
approval, approval
approve, approve
apt, apt
 average,  average
avoid, avoid
awake, awake
award, award
aware, aware
awkward, awkward
★ attach, ★ attach
attack, attack
attain, attain
attempt, attempt
attend, attend
attention, attention
attitude, attitude
attribute, attribute
基础词, 基础词
ahead, ahead
air-conditioning, air-conditioning
air-condition, air-conditioning
 aircraft,  aircraft
aisle, aisle
alert, alert
align, align
alike, alike
alive, alive
algorithm, algorithm
★ all, ★ all
allege, allege
allegiance, allegiance
alleviate, alleviate
alliance, alliance
allowance, allowance
alloy, alloy
ally, ally
alone, alone
along, along
alongside, alongside
alphabet, alphabet
although, although
altitude, altitude
altogether, altogether
ambassador, ambassador
 amiable,  amiable
amid(st), amid(st)
amplify, amplify
analog(ue), analog(ue)
analogy, analogy
analyse(-yze), analyse(-yze)
analysi, analysis
analysis, analysis
analytic(al), analytic(al)
★ apartment, ★ apartment
ape, ape
apologize, apologize
apology, apology
a r m, a r m
army, army
☆ ancestor, ☆ ancestor
ancient, ancient
and, and
anecdote, anecdote
angel, angel
angle, angle
anger, anger
angr), angr)
ankle, ankle
anniversary, anniversary
announce, announce
antenna, antenna
antique, antique
any, any
anybody, anybody
anyhow, anyhow
anything, anything
anyth, anything
anyway, anyway
anywhere, anywhere
asset, asset
assign, assign
assignment , assignment 
★ appal(1), ★ appal(1)
apparatu, apparatus
apparatus, apparatus
appendix, appendix
appetite, appetite
applaud, applaud
applause, applause
appraisal, appraisal
approximate, approximate
arbitrary, arbitrary
arch, arch
around, around
arrang0, arrang0
arrest, arrest
arrive, arrive
arrival, arrival
arrogant, arrogant
arrow, arrow
 adhere,  adhere
adjacent, adjacent
adolescent, adolescent
adore, adore
advent, advent
adventure, adventure
adverse, adverse
advertise, advertise
accent, accent
accident, accident
accord, accord
accordance, accordance
according to, according to
accordingly, accordingly
ache, ache
acid, acid
aerial, aerial
affluent, affluent
afterward(s) , afterward(s) 
age, ageing, age
against, against
★ agency, ★ agency
agenda, agenda
agony, agony
acquaint, acquaint
acquaintance, acquaintance
acros, across
across, across
★ abdomen, ★ abdomen
aboard, aboard
abound, abound
above, above
abrupt, abrupt
absurd, absurd
abundant, abundant
abuse, abuse
art, art
artery, artery
article, article
articulate, articulate
artifact, artifact
artificial, artificial
artist, artist
artistic, artistic
 a,  as
 as,  as
ascend, ascend
ascertain, ascertain
ascribe, ascribe
★ ash, ★ ash
asham, ashamed
ashamed, ashamed
ashore, ashore
aspect, aspect
aspire, aspire
★ automatic, ★ automatic
automation, automation
autonomy, autonomy
avenuC, avenuC
avert, avert
await, await
awe, awe
awful, awful
axe/ax, axe/ax
axi, axis
axis, axis
 attendant,  attendant
attorney, attorney
attract, attract
attractive, attractive
★ auction, ★ auction
audience, audience
audio, audio
audit, audit
auditorium, auditorium
augment, augment
aural, aural
authentic, authentic
超纲词, 超纲词
abdicate, abdicate
absolutely, absolutely
absolutist, absolutist
academia, academia
accessibility, accessibility
accountability, accountability
accusation, accusation
adaptable, adaptable
adequately, adequately
adherence, adherence
adjustment, adjustment
admirable, admirable
adoptive, adoptive
adornment, adornment
advisory, advisory
affordable, affordable
ageing, ageing
aggressiveness, aggressiveness
aggressivenes, aggressiveness
agre, agreed
agreed, agreed
alarmingly, alarmingly
allegation, allegation
allot, allot
amendment, amendment
analyst, analyst
ancestry, ancestry
announcement, announcement
antismoking, antismoking
antismok, antismoking
apparently, apparently
applicant, applicant
appreciation, appreciation
appreciative, appreciative
approachable, approachable
archaeological, archaeological
archaeologist, archaeologist
aristocratic, aristocratic
arrangement, arrangement
arrestee, arrestee
artefact, artefact
aspiration, aspiration
assertion, assertion
assimilation, assimilation
asteroid, asteroid
attraction, attraction
authorize, authorize
automobile, automobile
availability, availability
awarenes, awareness
awareness, awareness
 begin,  begin
beginning, beginning
beginn, beginning
behalf, behalf
behave, behave
behavio(u)r, behavio(u)r
belief, belief
believe, believe
belong, belong
beneficial, beneficial
benefit, benefit
benevolent, benevolent
benign, benign
 ban,  ban
bar, bar
bare, bare
barely, barely
bargain, bargain
background balance, background balance
base, base
basement, basement
basic, basic
basi, basis
basis, basis
brace, brace
brain, brain
branch, branch
brand, branding, brand
board, board
boast, boast
bonu, bonus
bonus, bonus
boom, boom
boost, boost
 bias,  bias
 bia,  bias
bid, bid
bill, bill
billion, billion
birth, birth
★ beam, ★ beam
become, become
★ brisk, ★ brisk
brief, brief
browse, browse
 breach,  breach
break, break
breakdown, breakdown
bre, breed
breed, breed
brevity, brevity
border, border
bore, bore
born, born
bother, bother
bubble, bubble
budget, budget
build, build
business, business
busines, business
bear, bearing, bear
beard, beard
bearing, bearing
★ bold, ★ bold
bolt, bolt
bolster, bolster
bomb, bomb
bond, bond
bone, bone
 beg,  beg
behind, behind
being, being
be, being
belly, belly
beloved, beloved
belov, beloved
below, below
belt, belt
bench, bench
★ bend, ★ bend
beneath, beneath
beside, besides, beside
besides, besides
★ bleak, ★ bleak
bleed, bleed
ble, bleed
blend, blend
bless, bless, blessing
bles, bless
bloom, bloom
blossom, blossom
blow, blow
blueprint, blueprint
blunder, blunder
blunt, blunt
blur, blur
blush, blush
bet, bet
betray, betray
better, better
between, between
beware, beware
bewilder, bewilder
beyond, beyond
bibliography, bibliography
bin, bin
bind, bind
biography, biography
biology, biology
bit, bit
bite, bite
□ bitter, □ bitter
bizarre, bizarre
★ beast, ★ beast
beal, beal
before, before
blind, blind
block, block
blood, blood
bloody, bloody
blade, blade
blame, blame
blast, blast
blaze, blaze
battle, battle
battery, battery
bay, bay
bald, bald
ballet, ballet
ballot, ballot
band, band
bandage, bandage
bang, bang
bankrupt, bankrupt
banner, banner
banquet, banquet
barbecue, barbecue
bark, bark
barn, barn
barrel, barrel
barren, barren
barrier, barrier
blank, blank
blanket, blanket
bath, bath
bathe, bathe
batch, batch
★ bake, ★ bake
bait, bait
bachelor, bachelor
backward, backward
bacteria, bacteria
bad, bad
badly, badly
badge, badge
badminton, badminton
baggage, baggage
bail, bail
body, body
boot, boot
booth, booth
bos, boss
boss, boss
botany, botany
bottom, bottom
★ breast, ★ breast
breath, breath
breathe, breathe
breeze, breeze
bribe, bribe
bridge, bridge
bright, bright
brilliant, brilliant
br, bring
bring, bring
★ bow, ★ bow
bowel, bowel
bowl, bowl
boycott, boycott
bounce, bounce
bound, bound
boundary, boundary
bracket, bracket
brake, brake
hrass, hrass
hras, hrass
brave, brave
★ bump, ★ bump
burn, burn
burst, burst
bury, bury
☆ bulk, ☆ bulk
bully, bully
but, but
button, button
buzz, buzz
by, by
bypass, bypass
bypas, bypass
★ bunch, ★ bunch
bundle, bundle
burden, burden
bureau, bureau
bureaucracy, bureaucracy
burglar, burglar
broad, broad
broadcast, broadcast
bruise, bruise
brush, brush
brutal, brutal
bud, bud
buffer, buffer
buffet, buffet
bug, bug
banker, banker
bank, banking
banking, banking
bans, bans
ban, bans
beautify, beautify
befriend, befriend
behavioral, behavioral
benefactor, benefactor
bias, biased
biased, biased
biographer, biographer
biological, biological
biologically, biologically
biologist, biologist
biomedical, biomedical
biophilia, biophilia
birthright, birthright
blessing, blessing
bodily, bodily
branding, branding
breakthrough, breakthrough
bribery, bribery
briefly, briefly
broadly, broadly
bureaucrat, bureaucrat
 challenge,  challenge
chance, chance
change, change
channel, channel
character, character
characterise, characterise
characteristic , characteristic 
capable, capable
capacity, capacity
capital, capital
captive, captive
capture, capture
career, career
careful, careful
case, case
cast, cast
casual, casual
casualty, casualty
catch, catch
category cater, category cater
cause, cause
caution, caution
cautious, cautious
cautiou, cautious
cease, cease
celebrate, celebrate
celebrity  , celebrity  
 ceremony,  ceremony
 certain,  certain
certainty  , certainty  
 certificate,  certificate
certify, certify
calculate, calculate
call, call
calm, calm
campaign, campaign
candidate, candidate
click, click
client, client
cl, cling
cling, cling
close, close
closet, closet
code, code
 cheer   ,  cheer   
cherish, cherish
chip, chip
choice, choice
choose, choose
 chemical,  chemical
 charge,  charge
charm, charm
chase, chase
corporate, corporate
corporation, corporation
★ comparable, ★ comparable
comparative, comparative
compare, compare
comparison, comparison
compel, compel
compensate, compensate
compete, compete
competition, competition
competitive, competitive
competent, competent
compile, compile
complain, complain
complaint, complaint
complement, complement
complete, complete
complex, complex
complicate, complicate
complicat, complicated
complicated, complicated
comply, comply
compliment, compliment
  coincide,   coincide
collapse, collapse
colleague, colleague
collect, collect
collection, collection
collective, collective
collide, collide
column, column
combat, combat
combine, combine
command, command
commend, commend
comment, comment
commerce, commerce
commercial, commercial
commission, commission
commit, commit
committee, committee
commodity, commodity
common, common
communicate, communicate
communication, communication
communism, communism
community, community
chop, chop
circumstance cite, circumstance cite
claim, claim
clear, clear
consequence, consequence
consequently, consequently
conservation, conservation
conservative, conservative
consider, considered, consider, considering
considerable, considerable
considerate, considerate
consume, consume
consumption, consumption
confine, confine
confirm, confirm
conflict, conflict
confidence, confidence
confident, confident
confidential, confidential
  configuration,   configuration
★ compress, ★ compress
★ compres, ★ compress
comprise, comprise
compromise, compromise
conceive, conceive
concentrate, concentrate
concept, concept
conception, conception
concern, concern
concise, concise
concrete, concrete
conclude, conclude
conclusion, conclusion
concurrent, concurrent
confer, confer
conference, conference
confes, confess
confess, confess
★ console, ★ console
consist, consist
consistent, consistent
constant, constant
constituent, constituent
constitute, constitute
constitution, constitution
constrain, constrain
construct, construct
★ component, ★ component
compose, compose
composition, composition
comprehend, comprehend
comprehension, comprehension
comprehensive, comprehensive
condemn, condemn
condense, condense
condition, condition
conduct, conduct
conductor, conductor
★ contemporary, ★ contemporary
contempt, contempt
content, content
contend, contend
contest, contest
context, context
contract, contract
contradict, contradict
contrary, contrary
contrast, contrast
conform, conform
confront, confront
confuse, confuse
confusion, confusion
congres, congress
congress, congress
connect, connect
connection, connection
consciou, conscious
conscious, conscious
continual, continual
continue, continue
continuous, continuous
continuou, continuous
★ curious, ★ curious
★ curiou, ★ curious
curiosity, curiosity
currency, currency
current, current
cut, cut
cumulative, cumulative
court, court
courtesy, courtesy
cover, cover
create, create
creative, creative
credit, credit
crisis, crisis
crisi, crisis
chat, chat
chain, chain
chair, chair
chairman, chairman
chamber, chamber
champagne, champagne
champion, champion
chancellor, chancellor
 chao,  chaos
 chaos,  chaos
chapter, chapter
charity, charity
chart, chart
charter, charter
climate, climate
climax, climax
climb, climb
clip, clip
cloak, cloak
clockwise, clockwise
clone, clone
★ cheat, ★ cheat
cheque/check, cheque/check
chest, chest
chew, chew
chief, chief
childhood chill, childhood chill
chorus, chorus
choru, chorus
chronic, chronic
chunk, chunk
★circle, ★circle
circuit, circuit
circular, circular
circulate, circulate
citizen, citizen
civil, civil
civilian, civilian
civilize, civilize
civilization, civilization
clap, clap
clarify, clarify
clarity, clarity
clash, clash
clasp, clasp
clas, class
class, class
classic, classic
classical, classical
classification , classification 
clause, clause
classify, classify
★ comfort, ★ comfort
come, come
comedy, comedy
comet, comet
comic, comic
commemorate, commemorate
commence, commence
commonplace, commonplace
commonwealth, commonwealth
commute, commute
congratulate, congratulate
congratulation, congratulation
conjunction, conjunction
conquer, conquer
conquest, conquest
☆ cloth, ☆ cloth
clothe, clothes, clothe
clothes, clothes
cloth, clothing
clothing, clothing
cloud, cloud
cloudy, cloudy
clue, clue
clumsy, clumsy
 cluster,  cluster
clutch, clutch
coherent, coherent
cohesive, cohesive
coin, coin
coke, coke
collaborate, collaborate
collar, collar
colonel, colonel
colonial, colonial
colony, colony
 combination,  combination
 compact,  compact
companion, companion
company, company
compartment, compartment
compas, compass
compass, compass
compassion, compassion
compatible, compatible
composite, composite
compound, compound
compulsory, compulsory
compute, compute
conceal, conceal
concede, concede
concert, concert
concession, concession
conscience, conscience
conscientious , conscientious 
consensu, consensus
consensus, consensus
consent, consent
consolidate, consolidate
consult, consult
consultant, consultant
consecutive, consecutive
 conspicuous ,  conspicuous 
conspiracy, conspiracy
ceiling, ceiling
ceil, ceiling
cell, cell
cement, cement
censorship, censorship
censu, census
census, census
cent, cent
center, center
central, central
century, century
centigrade, centigrade
centimetre, centimetre
cereal, cereal
★ camel, ★ camel
camp, camp
campu, campus
campus, campus
can, can
cancel, cancel
cancer, cancer
cape, cape
captain, captain
carbohydrate, carbohydrate
carbon, carbon
cardinal, cardinal
cargo, cargo
carriage, carriage
carrier, carrier
carry, carry
carrot, carrot
carve, carve
coach, coach
coalition, coalition
coarse, coarse
cognitive, cognitive
 cash,  cash
cashier, cashier
catalog(ue), catalog(ue)
catastrophe, catastrophe
★cab, ★cab
cabinet, cabinet
cable, cable
calendar, calendar
calorie, calorie
contemplate, contemplate
contrive, contrive
convenience, convenience
convenient, convenient
conversation, conversation
conversely, conversely
Conversion, Conversion
convert, convert
convict, convict
conviction, conviction
convince, convince
★ couple, ★ couple
coupon, coupon
courage, courage
course, course
Cow, Cow
coward, coward
★ contact, ★ contact
contagiou, contagious
contagious, contagious
contain, contain
contaminate, contaminate
contingent, contingent
cool, cool
cooperate, cooperate
c0operative, c0operative
coordinate, coordinate
cope, cope
copy, copy
copyright, copyright
Copper, Copper
cord, cord
cordial , cordial 
core, core
corn, corn
coronaviru, coronavirus
coronavirus, coronavirus
correct , correct 
correlate, correlate
correspond, correspond
correspondence, correspondence
correspondent, correspondent
corrode, corrode
corrupt, corrupt
★ cosmic, ★ cosmic
cost, cost
costume, costume
cosy/cozy, cosy/cozy
couch, couch
count, count
counter, counter
counterpart, counterpart
country, country
countryside, countryside
county, county
k   crime, k   crime
criminal, criminal
cripple, cripple
crisp, crisp
criterion, criterion
crop, crop
crow, crow
crowd, crowd
crown, crown
crude, crude
cruel, cruel
cruise, cruise
crush, crush
crust, crust
crystal, crystal
★ cycle, ★ cycle
cylinder, cylinder
cube, cube
cue, cue
cunning, cunning
cunn, cunning
curb, curb
cure, cure
curl, curl
curriculum, curriculum
curse, curse
curve, curve
custom, custom
cyberspace, cyberspace
☆ crack, ☆ crack
cradle, cradle
craft, craft
crash, crash
crazy, crazy
cream, cream
creature, creature
credentials, credentials
credential, credentials
crawl, crawl
creep, creep
crew, crew
cautiousness, cautiousness
cautiousnes, cautiousness
ceremonial, ceremonial
characterization, characterization
childles, childless
childless, childless
circulation, circulation
citizenry, citizenry
citizenship, citizenship
claimant, claimant
clamp, clamp
clearly, clearly
clear-cut, clear-cut
coexistence, coexistence
collaborative, collaborative
commitment, commitment
commonality, commonality
commonly, commonly
comparatively, comparatively
compensatory, compensatory
competence, competence
complementary, complementary
completely, completely
complexity, complexity
composer, composer
composure, composure
conceivably, conceivably
conditional, conditional
confirmation, confirmation
confrontation, confrontation
congressional, congressional
considerably, considerably
consideration, consideration
considered, considered
considering, considering
conspire, conspire
constantly, constantly
constitutional, constitutional
constitutionality, constitutionality
constraint, constraint
consumer, consumer
contemptuou, contemptuous
contemptuous, contemptuous
contention, contention
contextual, contextual
continually, continually
continuity, continuity
contributory, contributory
controllable, controllable
convincingly, convincingly
coordination, coordination
corruption, corruption
counterbalance, counterbalance
courageou, courageous
courageous, courageous
courtship, courtship
creation, creation
credibility, credibility
credible, credible
critique, critique
crushingly, crushingly
cultivation, cultivation
cultural, cultural
cure-all, cure-all
currently, currently
curricula, curricula
cute, cute
defend, defend
define, define
definite, definite
definition defy, definition defy
degree, degree
delay, delay
deliberate, deliberate
delicate deliver, delicate deliver
delivery , delivery 
decline, decline
decrease, decrease
decree, decree
deem, deem
dedicate, dedicate
deduce, deduce
deduct, deduct
data, data
database, database
date, date
dazzle, dazzle
deal, deal
dealer, dealer
debate, debate
decade, decade
decide, decide
decision, decision
decisive, decisive
decorate, decorate
detach, detach
detail, detail
detain, detain
 demand,  demand
democracy, democracy
democratic   , democratic   
demographic, demographic
 demonstrate,  demonstrate
denote, denote
denial, denial
deny, deny
department , department 
dependent, dependent
deposit, deposit
depres, depress
depress, depress
depend, depend
★ deprive, ★ deprive
derive, derive
describe, describe
description, description
deserve, deserve
design, design
designate, designate
desirable, desirable
desire, desire
★ differ, ★ differ
difference, difference
diffuse, diffuse
detect, detect
deter, deter
deteriorate, deteriorate
determine, determine
develop, develop
device, device
devise, devise
despise, despise
despite, despite
 dispute,  dispute
dissolve, dissolve
discriminate, discriminate
disease, disease
 discuss,  discuss
 discus,  discuss
★dilute, ★dilute
dim, dim
diminish, diminish
★ distinct, ★ distinct
distinction, distinction
distinguish, distinguish
disable, disable
disappear, disappear
disappoint, disappoint
discipline, discipline
disclose, disclose
discover, discover
discovery, discovery
★ diverse, ★ diverse
diversion, diversion
divert, divert
divide, divide
dividend, dividend
division, division
document, document
documentary, documentary
★ dismis, ★ dismiss
★ dismiss, ★ dismiss
disorder, disorder
disperse, disperse
displace, displace
display, display
distribute, distribute
distort, distort
distract, distract
drive, drive
drug, drug
deck, deck
declaration, declaration
declare, declare
deed, deed
de, deed
default, default
defeat, defeat
defer, defer
defect, defect
deficiency, deficiency
deficit, deficit
degenerate, degenerate
descend, descend
descendant, descendant
descent, descent
desert, desert
delegate, delegate
delete, delete
delicious , delicious 
delight, delight
★ denounce dense, ★ denounce dense
density, density
depart, depart
departure, departure
depict, depict
deplete, deplete
deplore, deplore
deploy, deploy
depth, depth
deputy, deputy
★ diabetes, ★ diabetes
★ diabete, ★ diabetes
diagnose, diagnose
diagram, diagram
dial, dial
dialect, dialect
diameter, diameter
dictate, dictate
dictation, dictation
diet, diet
differentiate, differentiate
dig, dig
digest, digest
digital, digital
dignity, dignity
disaster, disaster
disastrous, disastrous
disastrou, disastrous
discard, discard
discern, discern
discharge, discharge
☆ desolate, ☆ desolate
despair, despair
desperate, desperate
destination, destination
destiny, destiny
destruction, destruction
destructive, destructive
detective, detective
detector, detector
deviate, deviate
devil, devil
devote, devote
★ dilemma, ★ dilemma
diligent, diligent
dimension, dimension
dine, dine
dinosaur, dinosaur
dioxide, dioxide
dip, dip
diploma, diploma
diplomatic, diplomatic
direction, direction
director, director
directory, directory
debt, debt
debut, debut
decay, decay
deceit, deceit
deceive, deceive
decent, decent
decimal, decimal
Dave, Dave
★ dance, ★ dance
dash, dash
daunting, daunting
daunt, daunting
dawn, dawn
daily, daily
daylight, daylight
★ dead, ★ dead
deadline, deadline
deadly, deadly
deaf, deaf
dean, dean
★ damage, ★ damage
damn, damn
damp, damp
★ disrupt, ★ disrupt
dissipate, dissipate
distance, distance
distant, distant
distil(1), distil(1)
distress, distress
distres, distress
district, district
disturb, disturb
disturbance, disturbance
★ downtown, ★ downtown
down, down
downward, downward
doze, doze
drag, drag
dragon, dragon
drain, drain
drastic, drastic
draw, draw, drawing
drawback, drawback
drawer, drawer
drawing, drawing
discourage, discourage
discreet, discreet
discrete, discrete
discretion, discretion
discrepancy, discrepancy
disguise, disguise
disgust, disgust
dislike, dislike
dismay, dismay
disposal, disposal
dispose, dispose
disposition, disposition
discount, discount
dive, dive
divine, divine
divorce, divorce
dizzy, dizzy
★ dock, ★ dock
doctrine, doctrine
donate, donate
dose, dose
dot, dot
 dull,  dull
dumb, dumb
dump, dump
duplicate, duplicate
dusk, dusk
dwarf, dwarf
dwell, dwell
dye, dye
dynasty, dynasty
draft, draft
dread, dread
dres, dress
dress, dress
drift, drift
drill, drill
drip, drip
drop, drop
drone, drone
drought, drought
drown, drown
drum, drum
dampen, dampen
dazzlingly, dazzlingly
dearth, dearth
deception, deception
decoration, decoration
defensible, defensible
degrade, degrade
deliberately, deliberately
democrat, democrat
demonstration, demonstration
demoralization, demoralization
dependency, dependency
designer, designer
developer, developer
development, development
dimensional, dimensional
diplomacy, diplomacy
disapproval, disapproval
disbelief, disbelief
disciplinary, disciplinary
disconnect, disconnect
discontinue, discontinue
discussion, discussion
dishonor, dishonor
disposable, disposable
disregard, disregard
disruptive, disruptive
dissatisfaction, dissatisfaction
distinctly, distinctly
distribution, distribution
diversity, diversity
doctoral, doctoral
dominance, dominance
doubtful, doubtful
doubtless, doubtless
doubtles, doubtless
download, download
downside, downside
dramatically, dramatically
duplication, duplication
dweller, dweller
embrace, embrace
embed, embed
emb, embed
embody, embody
embryo, embryo
elicit, elicit
elite, elite
elsewhere, elsewhere
elaborate, elaborate
elegant, elegant
element, element
elementary eliminate, elementary eliminate
economic , economic 
economical, economical
economic, economics
economics, economics
economy, economy
educate, educate
education, education
effect, effect
effective, effective
efficient, efficient
efficiency, efficiency
effort, effort
enhance, enhance
enlarge, enlarge
enlighten, enlighten
emerge, emerge
emergency, emergency
eminent , eminent 
emotion, emotion
★ emphasis, ★ emphasis
★ emphasi, ★ emphasis
emphasize, emphasize
employ, employ
employee, employee
employer, employer
employment, employment
enable, enable
encounter, encounter
encourage, encourage
end, end
endeavo(u)r, endeavo(u)r
endorse, endorse
ensure, ensure
entail, entail
energy, energy
enforce, enforce
engage, engage
engagement , engagement 
★ exchange, ★ exchange
exclude, exclude
exclusive, exclusive
escape, escape
especially, especially
essay, essay
essence, essence
essential, essential
tablish, tablish
estimate, estimate
ethic, ethic
ethnic, ethnic
evaluate, evaluate
epic, epic
epidemic, epidemic
episode, episode
epoch, epoch
★ evidence, ★ evidence
evident, evident
evil, evil
environment, environment
enterprise, enterprise
entertain, entertain
entertainment, entertainment
 execute,  execute
executive, executive
exemplify, exemplify
exert, exert
exhaust, exhaust
exist, exist
existence, existence
exotic, exotic
 evolution,  evolution
evolve, evolve
exaggerate, exaggerate
examine, examine
extravagant, extravagant
extreme, extreme
export, export
expose, expose
exposure, exposure
expres, express
express, express
expression, expression
extend, extend
extension, extension
extensive, extensive
extent, extent
either, either
eject, eject
elapse, elapse
elastic, elastic
elbow, elbow
endow, endow
endure, endure
endurance, endurance
elect, elect
electric, electric
electrical, electrical
electrician, electrician
elevate, elevate
elevator, elevator
eligible, eligible
eloquent, eloquent
embark, embark
embarrass emigrate   emit, embarrass emigrate   emit
empire, empire
empirical, empirical
empty, empty
empathy, empathy
enclose, enclose
enclosure , enclosure 
★ envisage, ★ envisage
envy, envy
equal, equal
equality, equality
equivalent, equivalent
equation, equation
equator, equator
era, era
eradicate, eradicate
erase, erase
erect, erect
erode, erode
erosion, erosion
erroneou, erroneous
erroneous, erroneous
error, error
erupt, erupt
escalate, escalate
escort, escort
☆ engine, ☆ engine
engineer, engineering, engineer
engineering, engineering
enormous, enormous
enormou, enormous
enquire, enquire
enrich, enrich
enrol(1), enrol(1)
enthusiasm , enthusiasm 
entire, entire
entitle, entitle
enthusiastic, enthusiastic
entity, entity
entrepreneur, entrepreneur
entrance, entrance
entry, entry
★ equip, ★ equip
equipment, equipment
equity, equity
ego, ego
eccentric, eccentric
echo, echo
ecology, ecology
edge, edge
edible, edible
edit, edit
edition, edition
editor, editor
editorial, editorial
☆ eager, ☆ eager
ear, ear
earnest, earnest
earth, earth
ease, ease
east, east
ebb, ebb
★ eve, ★ eve
even, even
event, event
eventually, eventually
